Qnmax,Dn,Sn,Bn,Nn,Hn
0.156248,0.146841,0.545408,0.545408,0.247065,0.545408
0.624650,0.692476,0.000000,0.000000,0.218002,0.000000
0.440429,0.169396,0.440429,0.440429,0.037643,0.440429
0.639616,0.699619,0.000000,0.000000,0.196930,0.000000
0.300578,0.211490,0.000000,0.000000,0.148826,0.916456
0.305426,0.213181,0.644501,0.644501,0.132205,0.000000
0.110578,0.700015,0.000000,0.000000,0.077779,0.700015
0.431055,0.279446,0.550424,0.550424,0.188179,0.000000
0.520273,0.699315,0.000000,0.000000,0.485635,0.000000
0.243816,0.142234,0.000000,0.000000,0.252860,0.924519
0.000000,0.383312,0.638854,0.638854,0.038222,0.000000
0.400444,0.390738,0.000000,0.000000,0.027565,0.806286
0.385017,0.261461,0.000000,0.000000,0.000000,0.871537
0.223215,0.169324,0.550302,0.550302,0.079958,0.550302
0.377755,0.234482,0.000000,0.000000,0.141434,0.870934
0.378019,0.246394,0.000000,0.000000,0.252157,0.842926
0.392226,0.303519,0.000000,0.000000,0.100455,0.839520
0.384496,0.332044,0.000000,0.000000,0.120614,0.830111
0.356394,0.138840,0.000000,0.000000,0.146554,0.902462
0.243429,0.274834,0.533259,0.533259,0.533259,0.000000
0.334310,0.000000,0.000000,0.000000,0.118580,0.924925
0.370349,0.265181,0.000000,0.000000,0.198886,0.861839
0.304500,0.277242,0.000000,0.000000,0.424420,0.800922
0.087087,0.560812,0.560812,0.560812,0.220490,0.000000
0.137588,0.942921,0.000000,0.000000,0.298189,0.000000
0.382983,0.675055,0.000000,0.000000,0.630051,0.000000
0.266820,0.876108,0.000000,0.000000,0.401549,0.000000
0.470886,0.650876,0.000000,0.000000,0.588888,0.000000
0.190129,0.237502,0.475004,0.475004,0.475004,0.475004
