Qnmax,Dn,Sn,Bn,Nn,Hn,PPV
0.28647925,0.269230769,1,1,0.452991453,1,0.043941411
0.416331995,0.461538462,0,0,0.145299145,0,0.191744341
1,0.384615385,1,1,0.085470085,1,1
0.527443106,0.576923077,0,0,0.162393162,0,0.206391478
0.327978581,0.230769231,0,0,0.162393162,1,0.058588549
0.473895582,0.330769231,1,1,0.205128205,0,0.177097204
0.157965194,1,0,0,0.111111111,1,0.058588549
0.78313253,0.507692308,1,1,0.341880342,0,0.559254328
0.228915663,0.307692308,0,0,0.213675214,0,0.029294274
0.263721553,0.153846154,0,0,0.273504274,1,0.043941411
0,0.6,1,1,0.05982906,0,0.294274301
0.49665328,0.484615385,0,0,0.034188034,1,0.235685752
0.441767068,0.3,0,0,0,1,0.177097204
0.40562249,0.307692308,1,1,0.145299145,1,0.147802929
0.43373494,0.269230769,0,0,0.162393162,1,0.177097204
0.448460509,0.292307692,0,0,0.299145299,1,0.177097204
0.467202142,0.361538462,0,0,0.11965812,1,0.235685752
0.463186078,0.4,0,0,0.145299145,1,0.235685752
0.394912985,0.153846154,0,0,0.162393162,1,0.147802929
0.456492637,0.515384615,1,1,1,0,0.206391478
0.361445783,0,0,0,0.128205128,1,0.147802929
0.429718876,0.307692308,0,0,0.230769231,1,0.117177097
0.380187416,0.346153846,0,0,0.52991453,1,0.117177097
0.155287818,1,1,1,0.393162393,0,0.029294274
0.145917001,1,0,0,0.316239316,0,0.058588549
0.218206158,0.384615385,0,0,0.358974359,0,0.014647137
0.187416332,0.615384615,0,0,0.282051282,0,0
0.389558233,0.538461538,0,0,0.487179487,0,0.073235686
0.400267738,0.5,1,1,1,1,0.147802929
