Expected,Actual,Difference,,,,
0.55,1.1059,0.5559,,,,
1.66,1.17034,0.48966,,,,
7.732,6.9404,0.7916,,,,0.917251567
1.77,2.11634,0.34634,,,,
0.66,0.1029,0.5571,,,,
1.55,2.37,0.82,,,,
0.66,0.3091,0.3509,,,,
4.42,4.62506,0.20506,,,,
0.44,1.0654,0.6254,,,,
0.55,0.2909,0.2591,,,,
2.43,1.86,0.57,,,,
1.99,1.67,0.32,,,,
1.55,1.606,0.056,,,,
1.33,1.2745,0.0555,,,,
1.55,1.58054,0.03054,,,,
1.55,1.74232,0.19232,,,,
1.99,2.16018,0.17018,,,,
1.99,1.6732,0.3168,,,,
1.33,1.8473,0.5173,,,,
1.77,1.423,0.347,,,,
1.33,1.4611,0.1311,,,,
1.1,0.989,0.111,,,,
1.1,1.3642,0.2642,,,,
0.66,0.4986,0.1614,,,,
0.33,0.49694,0.16694,,,,
0.22,0.4664,0.2464,,,,
0.77,1.035,0.265,,,,
1.33,2.17,0.84,,,,
